,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,中山大学,协同,软件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,中山大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,广州,南方,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,广东外语外贸大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,广东,食品药品,职业学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,中科院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,西北工业大学,自动化,学院,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,university,electronic,science,technology,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,商丘,学院,硕士,master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,广东石油化工学院,武汉大学,人工智能,模式识别,机器学习,软件工程,信息安全,博士,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,广东工业大学,材料,合成,博士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,广东,药科,大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,广东,邮电,职业,技术,学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
